win_rate,payoff_ratio,stress_name,rule_cn,liquidation_probability,median_total_withdrawal,median_final_total,median_active_max_drawdown,median_total_max_drawdown
0.35,3.0,无强制连亏,新高出半,0.582,42686,42686,-1.000,-0.682
0.35,3.0,无强制连亏,盈利出半,1.000,12897,12897,-1.000,-0.465
0.35,3.0,前期6连亏,新高出半,0.783,7055,7055,-1.000,-0.755
0.35,3.0,前期6连亏,盈利出半,1.000,11594,11594,-1.000,-0.469
0.45,2.0,无强制连亏,新高出半,0.320,1679295,2984752,-0.948,-0.642
0.45,2.0,无强制连亏,盈利出半,1.000,15188,15188,-1.000,-0.428
0.45,2.0,中段8连亏,新高出半,0.442,276381,435027,-0.986,-0.657
0.45,2.0,中段8连亏,盈利出半,1.000,15717,15717,-1.000,-0.427
0.55,1.2,无强制连亏,新高出半,0.319,215632,392842,-0.918,-0.635
0.55,1.2,无强制连亏,盈利出半,1.000,13592,13592,-1.000,-0.401
0.55,1.2,后段10连亏,新高出半,0.408,117711,157391,-0.982,-0.653
0.55,1.2,后段10连亏,盈利出半,1.000,13698,13698,-1.000,-0.394
